2026-03-27 19:34 <INFO>  [5m46s] 346.14s - Resetting the target for SkinTemperatureRightLeg to 31.582, the last target value was 31.901 
2026-03-27 19:34 <INFO>  [5m50s] Converging System... it took 1.84s to simulate the past 10s 
2026-03-27 19:34 <INFO>  [6m0s] Converging System... it took 1.88s to simulate the past 10s 
2026-03-27 19:34 <INFO>  [6m0s] 360.72s - Resetting the target for TidalVolume to 0.516157, the last target value was 0.513644 
2026-03-27 19:34 <INFO>  [6m4s] 364.64s - Resetting the target for SkinTemperatureTorso to 31.7974, the last target value was 32.1186 
2026-03-27 19:34 <INFO>  [6m10s] Converging System... it took 1.88s to simulate the past 10s 
2026-03-27 19:34 <INFO>  [6m19s] 379.22s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0432004, the last target value was 0.0430813 
2026-03-27 19:34 <INFO>  [6m20s] Converging System... it took 1.87s to simulate the past 10s 
2026-03-27 19:34 <INFO>  [6m26s] 386.58s - Resetting the target for TidalVolume to 0.518639, the last target value was 0.516157 
2026-03-27 19:34 <INFO>  [6m30s] Converging System... it took 1.85s to simulate the past 10s 
2026-03-27 19:34 <INFO>  [6m40s] Converging System... it took 1.85s to simulate the past 10s 
2026-03-27 19:34 <WARNING>  [6m41s] We have passed required and optional convergence criteria. 
